t_global,x,y,v,em,es,label
204.125,284,592,0,0,34,1
204.164,278,589,0,0,33,1
204.237,271,586,0,0,33,2
204.309,271,586,0,0,33,1
204.348,264,580,0,0,33,1
204.421,254,572,0,0,33,1
204.493,254,572,0,0,33,1
204.533,245,564,0,0,32,1
204.605,246,560,0,0,32,1
204.677,246,560,0,0,32,1
204.717,249,558,0,0,32,1
204.789,253,557,0,0,32,1
204.861,253,557,0,0,33,1
204.901,258,556,0,0,33,1
204.974,265,556,0,0,33,1
205.046,265,556,0,0,33,1
205.085,269,557,0,0,33,1
205.159,275,562,0,0,32,1
205.231,287,568,0,0,32,1
205.271,287,568,0,0,32,1
205.345,297,575,0,0,32,1
205.417,282,578,0,0,32,1
205.457,282,578,0,0,32,1
205.531,256,577,0,0,32,1
205.603,227,574,0,0,32,1
205.643,140,564,0,0,32,1
205.714,140,564,0,0,32,1
205.787,99,562,0,0,33,1
205.827,71,562,0,0,33,1
205.898,71,562,0,0,33,1
205.971,62,567,0,0,34,1
206.016,69,568,0,0,35,1
206.088,75,568,-16,0,35,1
206.160,75,568,-16,0,36,1
206.200,81,567,-8,0,36,1
206.273,82,565,0,0,36,1
206.345,82,565,0,0,36,1
206.384,85,567,0,0,38,1
206.457,85,570,0,0,39,1
206.529,85,570,0,0,39,1
206.568,82,573,0,0,40,2
206.641,75,573,0,0,41,2
206.713,75,573,0,0,41,2
206.752,69,574,0,0,41,2
206.825,79,580,0,0,40,2
206.897,79,580,0,0,40,2
206.936,97,586,0,0,39,2
207.009,113,591,0,0,39,2
207.081,113,591,0,0,38,2
207.121,123,593,0,0,36,2
207.193,133,595,0,0,36,2
207.265,133,595,0,0,36,2
207.305,139,594,0,0,36,1
207.378,142,593,0,0,35,1
207.451,140,587,0,0,34,1
207.490,140,587,0,0,34,1
207.564,135,583,0,0,33,1
207.636,129,579,0,0,33,1
207.676,129,579,0,0,35,1
207.750,121,576,0,0,35,1
207.822,114,578,0,0,35,1
207.863,108,578,0,0,36,1
207.935,108,578,0,0,35,1
208.007,103,577,0,0,35,1
208.052,99,572,0,0,35,1
208.124,99,572,0,0,35,1
208.196,96,569,0,0,35,1
208.236,94,568,0,0,34,1
208.308,95,572,0,0,34,1
208.380,95,572,0,0,34,1
208.420,97,580,0,0,34,1
208.492,104,587,0,0,34,1
208.564,104,587,0,0,33,1
208.604,109,594,0,0,33,1
208.677,112,600,0,0,33,1
208.749,112,600,0,0,33,1
208.790,112,606,0,0,33,1
208.862,114,612,0,0,34,1
208.934,114,612,0,0,34,1
208.973,115,613,0,0,35,1
209.046,118,614,0,0,35,1
209.118,118,614,0,0,35,1
209.157,120,617,0,0,35,1
209.230,120,621,0,0,36,1
209.302,120,621,0,0,36,1
209.341,125,622,0,0,36,1
209.414,126,623,0,0,36,1
209.486,126,623,0,0,36,1
209.526,126,620,0,0,36,1
209.598,124,614,0,0,36,1
209.670,124,614,0,0,36,1
209.709,121,609,0,0,36,1
209.782,122,606,0,0,36,1
209.855,127,606,0,0,36,1
209.894,127,606,0,0,36,1
209.968,136,608,0,0,37,1
210.041,144,610,0,0,37,1
210.085,144,610,0,0,36,1
210.159,147,611,0,0,36,1
210.231,148,617,0,0,36,1
210.271,152,622,0,0,37,1
210.343,152,622,0,0,36,1
210.415,161,627,8,0,36,1
210.455,167,631,0,0,35,1
210.527,167,631,0,0,35,1
210.599,169,634,-8,0,35,1
210.639,171,636,-16,0,37,1
210.711,168,635,0,0,37,1
210.783,168,635,0,0,39,2
210.823,160,633,-8,0,40,2
210.895,151,632,-8,0,40,2
210.967,151,632,-8,0,42,2
211.007,143,631,0,0,42,2
211.080,137,633,0,0,44,2
211.152,137,633,0,0,48,2
211.192,129,633,0,0,48,2
211.265,119,629,8,0,49,2
211.337,119,629,8,0,49,2
211.376,108,622,8,0,48,0
211.449,98,621,8,0,50,0
211.521,98,621,8,0,50,0
211.560,86,621,0,0,51,0
211.633,72,619,0,0,51,0
211.705,72,619,0,0,51,0
211.744,57,619,0,0,51,0
211.817,45,613,0,0,50,2
211.889,45,613,0,0,50,2
211.929,34,610,0,0,50,2
212.001,22,605,0,0,50,2
212.073,22,605,0,0,51,2
212.118,14,599,0,0,54,2
212.189,7,595,0,0,54,2
212.263,0,595,0,0,57,2
212.302,0,595,0,0,57,2
212.375,-7,597,8,0,56,2
212.449,-14,599,8,0,57,2
212.488,-14,599,8,0,57,1
212.561,-22,600,8,0,56,2
212.633,-26,603,0,0,56,2
212.673,-32,603,0,0,57,2
212.745,-32,603,0,0,59,2
212.817,-38,602,0,0,59,2
212.857,-42,604,-8,0,59,2
212.929,-42,604,-8,0,60,2
213.001,-44,605,0,0,60,2
213.041,-46,606,-8,0,61,2
213.112,-46,606,-8,0,61,2
213.185,-45,607,-16,0,62,2
213.225,-46,607,-8,26,66,2
213.297,-43,608,-8,26,66,2
213.369,-43,608,-8,0,66,2
213.408,-35,609,-8,0,66,2
213.481,-20,609,-8,0,67,2
213.553,-20,609,-8,0,67,2
213.593,20,607,0,0,67,2
213.666,42,607,0,0,67,2
213.738,42,607,0,0,67,2
213.777,63,605,0,0,68,2
213.850,70,606,0,0,68,2
213.922,70,606,0,0,68,2
213.961,76,605,-8,0,69,2
214.034,77,609,-8,0,70,2
214.106,77,609,-8,0,70,2
214.150,81,609,0,0,71,2
214.223,85,613,0,0,71,2
214.295,85,613,0,0,71,2
214.335,86,621,-8,0,71,2
214.407,85,632,-8,0,71,2
214.479,85,632,-8,0,71,2
214.519,79,639,0,0,70,2
214.590,78,643,0,0,70,2
214.664,83,646,8,0,69,2
214.703,83,646,8,0,69,2
214.776,94,643,8,0,68,2
214.850,110,640,8,0,67,2
214.889,110,640,8,0,67,2
214.963,152,628,0,0,66,1
215.035,173,625,8,0,66,1
215.075,163,620,0,0,66,1
215.147,163,620,0,0,63,1
215.219,160,618,-8,0,63,1
215.259,162,616,-8,0,61,1
215.331,162,616,-8,0,61,1
215.403,163,596,-8,0,61,1
215.443,169,582,-8,18,61,1
215.514,169,582,-8,18,61,2
215.587,191,564,-8,0,60,2
215.627,218,553,0,0,60,0
215.699,232,546,0,0,60,0
215.771,232,546,0,0,59,0
215.810,233,550,0,0,59,0
215.883,223,552,-8,0,61,0
215.955,223,552,-8,0,62,0
215.995,221,553,0,0,62,0
216.068,217,555,0,0,61,0
216.140,217,555,0,0,61,0
216.184,184,561,0,0,58,0
216.257,95,581,0,0,55,0
216.329,95,581,0,0,55,0
216.368,36,600,0,0,56,0
216.441,-14,620,0,0,56,0
216.513,-14,620,0,0,56,0
216.552,-49,634,0,0,56,0
216.625,-43,629,0,0,57,0
216.697,-43,629,0,0,57,0
216.736,-32,622,0,0,55,0
216.809,-19,614,0,0,55,0
216.881,-19,614,0,0,54,0
216.921,-3,604,0,0,54,0
216.992,8,596,0,0,54,0
217.066,4,591,0,0,53,0
217.105,4,591,0,0,53,0
217.178,0,588,0,0,52,0
217.252,-10,587,0,0,49,0
217.291,-10,587,0,0,49,0
217.365,-26,586,0,0,50,0
217.437,-41,586,0,0,50,0
217.477,-51,586,0,0,51,1
217.549,-51,586,0,0,52,1
217.621,-44,586,0,0,52,0
217.661,-30,587,0,0,82,0
217.733,-30,587,0,0,86,0
217.805,-15,588,0,0,86,0
217.845,-5,587,0,0,85,0
217.917,-5,587,0,0,84,0
217.989,-1,585,0,0,84,0
218.029,0,577,0,0,85,0
218.101,5,571,8,0,85,0
218.173,5,571,8,0,86,0
218.218,10,568,0,0,86,0
218.290,16,567,0,0,86,0
218.362,16,567,0,0,86,0
218.402,21,568,0,0,86,0
218.475,27,572,8,0,86,0
218.547,27,572,8,0,86,0
218.586,33,572,0,0,89,0
218.659,38,571,0,0,92,3
218.731,38,571,0,0,92,3
218.771,43,573,0,0,92,3
218.843,47,578,0,0,91,3
218.915,47,578,0,0,91,3
218.954,52,585,0,0,92,4
219.027,57,590,0,0,92,4
219.099,57,590,0,0,92,4
219.138,60,591,0,0,93,4
219.211,63,590,0,0,93,4
219.283,63,590,0,0,96,4
219.323,67,590,0,0,98,4
219.394,67,588,0,0,98,4
219.468,64,585,0,0,99,4
219.507,64,585,0,0,99,4
219.581,60,585,0,0,100,4
219.654,58,588,0,0,99,4
219.693,58,588,0,0,99,4
219.767,58,592,0,0,100,4
219.839,64,594,0,0,100,4
219.880,73,596,0,0,100,4
219.952,73,596,0,0,100,4
220.024,77,598,0,0,100,4
220.064,69,601,0,0,100,4
220.136,69,601,0,0,100,4
220.208,62,603,0,0,100,4
220.252,57,605,0,0,100,4
220.325,60,605,0,0,100,4
220.397,60,605,0,0,100,4
220.436,66,605,0,0,100,4
220.509,75,605,0,0,100,4
220.581,75,605,0,0,100,4
220.621,82,604,0,0,100,4
220.693,84,595,0,0,100,4
220.765,84,595,0,0,98,4
220.805,86,588,0,0,98,4
220.878,83,579,0,0,95,4
220.950,83,579,0,0,93,4
220.991,77,569,0,0,93,1
221.063,72,560,0,0,90,1
221.135,72,560,0,0,90,1
221.174,66,556,0,0,88,1
221.247,59,562,0,0,86,1
221.319,59,562,0,0,86,1
221.358,53,568,0,0,83,1
221.431,43,580,0,0,81,1
221.503,43,580,0,0,81,1
221.542,35,591,0,0,81,1
221.615,28,600,0,0,81,1
221.687,28,600,0,0,67,1
221.727,21,608,0,0,65,1
221.798,18,613,0,0,65,1
221.871,18,613,0,0,65,1
221.911,18,613,0,0,65,1
221.984,19,613,0,0,65,1
222.058,22,608,0,0,64,4
222.097,22,608,0,0,64,4
222.170,23,606,0,0,63,4
222.243,19,610,0,0,63,4
222.288,16,613,0,0,62,4
222.360,16,613,0,0,63,4
222.432,14,617,0,0,63,4
222.472,12,624,0,0,63,4
222.544,12,624,0,0,63,4
222.616,12,628,0,0,63,4
222.655,20,631,0,0,61,4
222.728,28,628,0,0,62,4
222.800,28,628,0,0,62,4
222.839,34,626,0,0,62,4
222.912,35,624,0,0,62,4
222.984,35,624,0,0,63,4
223.024,36,619,0,0,63,4
223.096,37,614,0,0,63,4
223.168,37,614,0,0,62,4
223.207,39,637,0,0,62,4
223.280,41,662,0,0,62,4
223.352,41,662,0,0,61,4
223.392,31,707,0,0,61,4
223.465,30,717,0,0,59,4
223.537,30,717,0,0,59,4
223.576,33,730,0,0,57,4
223.649,47,756,0,0,55,4
223.721,47,756,0,0,55,4
223.760,89,834,0,0,53,4
223.833,129,892,0,0,51,4
223.905,129,892,0,0,51,4
223.944,184,818,0,0,49,4
224.017,233,729,0,0,48,4
224.089,233,729,0,0,48,4
224.129,251,642,0,0,47,4
224.201,250,585,0,0,47,4
224.274,216,573,0,0,46,4
224.320,216,573,0,0,44,4
224.392,201,579,0,0,44,4
224.466,181,580,0,0,43,4
224.506,171,587,0,0,43,4
224.577,171,587,0,0,41,4
224.650,156,597,0,0,39,4
224.691,136,627,0,0,39,4
224.763,136,627,0,0,38,4
224.835,65,692,0,0,38,4
224.875,2,729,0,0,37,4
224.947,2,729,0,0,36,4
225.019,-17,751,0,0,36,4
225.058,-7,761,0,0,36,4
225.131,-2,781,0,0,36,4
225.203,-2,781,0,0,36,4
225.242,11,784,0,0,36,4
225.315,21,795,0,0,36,4
225.387,21,795,0,0,36,4
225.427,28,791,0,0,36,4
225.499,55,783,0,0,36,4
225.571,55,783,0,0,36,4
225.610,63,776,0,0,36,4
225.683,71,768,0,0,35,4
225.755,71,768,0,0,35,4
225.795,76,760,0,0,35,4
225.868,78,756,0,0,34,4
225.940,78,756,0,0,34,4
225.979,78,756,0,0,34,4
226.052,79,757,0,0,33,4
226.124,79,757,0,0,33,3
226.163,82,755,0,0,33,3
226.236,87,754,8,0,32,3
226.308,87,754,8,0,32,3
226.352,97,755,0,0,31,3
226.426,108,752,0,0,31,3
226.498,116,745,0,0,31,3
226.538,116,745,0,0,31,3
226.611,119,736,0,0,31,3
226.684,123,728,0,0,30,3
226.725,123,728,0,0,30,3
226.798,126,724,0,0,30,3
226.870,125,737,0,0,30,3
226.910,120,759,0,0,30,3
226.982,120,759,0,0,32,3
227.055,101,824,-16,0,34,3
227.095,94,808,-16,0,34,3
227.167,94,808,-16,0,34,3
227.239,90,797,-16,0,34,3
227.279,84,787,-16,0,36,3
227.351,84,787,-16,0,36,3
227.423,81,777,-16,0,36,3
227.462,77,767,-16,0,40,3
227.535,69,758,-8,0,41,3
227.607,69,758,-8,0,41,3
227.646,52,728,-16,0,35,3
227.719,25,706,-8,0,36,3
227.791,25,706,-8,0,36,3
227.831,5,678,-24,0,37,3
227.903,3,654,-24,0,37,3
227.975,3,654,-24,0,38,3
228.014,9,643,-16,0,38,3
228.087,11,636,-24,0,38,3
228.159,11,636,-24,0,38,3
228.199,9,630,-16,0,38,3
228.272,4,624,-8,0,40,3
228.344,4,624,-8,0,40,3
228.388,-4,618,-8,0,40,3
228.461,-10,611,-16,0,41,3
228.533,-10,611,-16,0,41,3
228.572,-14,601,-8,0,42,3
228.645,-19,592,-8,0,43,3
228.717,-19,592,-8,0,43,3
228.756,-25,584,0,0,43,3
228.830,-28,577,0,0,44,3
228.902,-30,570,0,0,44,3
228.942,-30,570,0,0,47,3
229.015,-36,565,-8,0,47,3
229.087,-41,559,0,0,49,4
229.128,-41,559,0,0,49,4
229.200,-41,553,0,0,49,4
229.273,-38,544,-8,0,49,4
229.313,-36,537,-8,0,49,4
229.384,-36,537,-8,0,50,4
229.457,-32,530,-8,0,51,4
229.497,-32,523,0,0,51,4
229.568,-32,523,0,0,53,4
229.641,-31,514,0,0,53,4
229.681,-31,505,0,0,53,4
229.753,-31,505,0,0,53,4
229.825,-31,495,0,0,53,4
229.864,-31,487,8,0,54,4
229.937,-31,479,0,0,53,4
230.009,-31,479,0,0,53,4
230.048,-30,471,8,0,54,4
230.121,-29,463,16,16,55,3
230.193,-29,463,16,16,55,3
230.233,-30,458,24,0,57,3
230.305,-36,456,24,0,57,3
230.377,-36,456,24,0,57,3
230.422,-42,455,24,0,58,3
230.494,-49,454,24,0,58,3
230.566,-49,454,24,0,57,3
230.606,-53,457,32,0,57,3
230.680,-52,461,32,0,57,3
230.752,-52,461,32,0,58,3
230.792,-55,467,48,0,58,3
230.865,-60,475,56,0,58,3
230.937,-60,475,56,0,58,3
230.976,-60,485,48,0,56,3
231.049,-63,493,39,0,54,3
231.122,-65,503,32,0,54,3
231.161,-65,503,32,0,53,4
231.235,-64,514,24,0,52,4
231.308,-67,524,24,0,52,4
231.347,-67,524,24,0,53,4
231.421,-66,536,16,0,51,4
231.493,-35,577,8,0,51,4
231.534,-3,613,8,0,49,4
231.605,-3,613,8,0,49,4
231.678,16,641,8,0,47,4
231.718,19,670,0,0,47,4
231.789,19,670,0,0,47,4
231.862,22,699,0,0,46,4
231.903,27,723,0,0,46,4
231.975,27,723,0,0,45,4
232.047,22,736,-8,0,45,4
232.087,23,741,-8,0,46,4
232.159,25,748,-8,0,46,4
232.232,25,748,-8,0,46,4
232.271,23,754,-8,0,45,4
232.343,23,762,-8,0,45,4
232.415,23,762,-8,0,45,4
232.459,21,767,-8,0,45,4
232.532,20,770,-8,0,43,4
232.604,20,770,-8,0,43,4
232.643,21,777,-8,0,45,4
232.716,26,783,-16,0,45,4
232.788,26,783,-16,0,45,4
232.828,35,789,-16,0,44,4
232.900,49,790,-16,0,44,4
232.972,49,790,-16,0,42,4
233.011,65,790,-16,0,42,4
233.084,114,792,-8,0,40,4
233.156,114,792,-8,0,40,4
233.196,150,792,-8,0,40,4
233.269,166,790,-8,0,40,4
233.341,166,790,-8,0,40,2
233.380,171,779,-8,0,40,2
233.453,169,776,0,0,39,2
233.525,167,776,0,0,39,2
233.565,167,776,0,0,39,2
233.639,164,776,0,0,38,2
233.711,175,781,0,0,38,2
233.751,175,781,0,0,39,2
233.825,188,782,0,0,38,2
233.897,205,784,0,0,38,2
233.938,217,789,0,0,38,2
234.009,217,789,0,0,38,2
234.082,232,793,0,0,37,1
234.122,245,792,0,0,36,1
234.194,245,792,0,0,36,1
234.266,257,787,0,0,34,1
234.307,267,785,0,0,34,1
234.380,267,785,0,0,34,1
234.452,271,784,0,0,34,4
234.497,267,782,0,0,34,4
234.571,259,780,0,0,33,4
234.643,259,780,0,0,33,4
234.682,251,778,0,0,34,4
234.755,234,776,0,0,33,4
234.827,234,776,0,0,33,4
234.866,215,771,0,0,33,4
234.939,199,765,0,0,33,4
